School Name,Latitude,Longitude,LGA
Carrum Primary School,-38.07812,145.1267,Kingston (C)
Casey Fields Primary School,-38.12014,145.29841,Casey (C)
Casterton Primary School,-37.58655,141.4052,Glenelg (S)
Castlemaine North Primary School,-37.05783,144.21899,Mount Alexander (S)
Castlemaine Primary School,-37.0666,144.22233,Mount Alexander (S)
Caulfield Junior College,-37.87211,145.02156,Glen Eira (C)
Caulfield Primary School,-37.88805,145.02003,Glen Eira (C)
Caulfield South Primary School,-37.89525,145.0308,Glen Eira (C)
Cavendish Primary School,-37.53087,142.03989,Southern Grampians (S)
Ceres Primary School,-38.17355,144.26673,Greater Geelong (C)
Chalcot Lodge Primary School,-37.96973,145.2477,Casey (C)
Chandler Park Primary School,-37.9924,145.18048,Greater Dandenong (C)
Chatham Primary School,-37.81765,145.0916,Boroondara (C)
Chelsea Heights Primary School,-38.04502,145.13806,Kingston (C)
Chelsea Primary School,-38.05489,145.12231,Kingston (C)
Cheltenham East Primary School,-37.96526,145.06835,Kingston (C)
Cheltenham Primary School,-37.96861,145.05463,Bayside (C)
Chewton Primary School,-37.08233,144.26116,Mount Alexander (S)
Chiltern Primary School,-36.14707,146.6066,Indigo (S)
Chilwell Primary School,-38.15511,144.34538,Greater Geelong (C)
Chirnside Park Primary School,-37.75007,145.31134,Yarra Ranges (S)
Christ Church Grammar School,-37.83895,144.98574,Melbourne (C)
Christ Our Holy Redeemer School,-37.89616,145.10575,Monash (C)
Christ the King Primary School,-37.78761,144.86196,Maribyrnong (C)
Christ the King School,-38.16655,144.3931,Greater Geelong (C)
Christ the Priest Catholic Primary School,-37.74772,144.73744,Melton (C)
Christmas Hills Primary School,-37.65352,145.3042,Nillumbik (S)
Chum Creek Primary School,-37.60596,145.48925,Yarra Ranges (S)
Churchill North Primary School,-38.30464,146.41695,Latrobe (C)
Churchill Primary School,-38.3111,146.41542,Latrobe (C)
Clairvaux Catholic School,-38.18552,144.3249,Greater Geelong (C)
